timestamp,color,result,our_moves,bleed_cp_per_move
2026-07-16T03:30:03,white,0-1,46,23.8
2026-07-16T03:30:03,black,1-0,36,25.1
2026-07-16T03:31:04,white,0-1,41,24.4
2026-07-16T03:31:04,black,1-0,32,27.4
2026-07-16T03:31:19,white,0-1,27,40.6
2026-07-16T03:31:19,black,1-0,19,40.4
2026-07-16T03:31:34,white,0-1,30,36.9
2026-07-16T03:31:34,black,1-0,13,67.5
2026-07-16T03:31:49,white,0-1,25,42.1
2026-07-16T03:31:49,black,1-0,21,38.8
2026-07-16T03:32:04,white,1/2-1/2,26,35.7
2026-07-16T03:32:05,black,1-0,25,32.5
2026-07-16T03:34:02,white,0-1,19,49.8
2026-07-16T03:34:02,black,1-0,18,45.1
2026-07-16T03:34:17,white,0-1,22,37.0
2026-07-16T03:34:17,black,1-0,21,34.7
2026-07-16T03:34:30,white,1/2-1/2,20,44.9
2026-07-16T03:34:30,black,1-0,17,50.1
2026-07-16T03:34:43,white,0-1,23,38.7
2026-07-16T03:34:43,black,1-0,14,63.1
2026-07-16T03:34:58,white,0-1,25,31.6
2026-07-16T03:34:59,black,1-0,21,31.4
2026-07-16T04:05:04,white,0-1,39,21.1
2026-07-16T04:05:05,black,1-0,25,32.6
2026-07-16T04:05:27,white,0-1,51,23.0
2026-07-16T04:05:27,black,1-0,33,22.2
2026-07-16T04:05:46,white,0-1,38,26.7
2026-07-16T04:05:47,black,1-0,25,37.8
2026-07-16T04:06:06,white,0-1,43,21.9
2026-07-16T04:06:07,black,1-0,29,37.4
2026-07-16T04:06:26,white,0-1,43,16.6
2026-07-16T04:06:26,black,1-0,29,38.6
2026-07-16T04:09:42,white,0-1,51,26.0
2026-07-16T04:09:43,black,1-0,35,23.2
2026-07-16T04:10:02,white,0-1,34,31.9
2026-07-16T04:10:02,black,1-0,31,27.8
2026-07-16T04:10:20,white,0-1,29,31.2
2026-07-16T04:10:21,black,1-0,32,28.8
2026-07-16T04:10:39,white,0-1,36,27.4
2026-07-16T04:10:40,black,1-0,27,32.4
2026-07-16T04:10:55,white,0-1,26,37.5
2026-07-16T04:10:55,black,1-0,22,40.5
